__sf_row_id,customer_id,product_name,review_text,rating,purchase_date,reviewer_name,product_name_sentiment,product_name_confidence,product_name_polarity,product_name_subjectivity,review_text_sentiment,review_text_confidence,review_text_polarity,review_text_subjectivity
0.0,1.0,Laptop Pro,This product is absolutely amazing! Best purchase ever.,5.0,2026-01-15,John,neutral,1.0,0.0,0.0,positive,0.596,0.875,0.6
1.0,2.0,Laptop Pro,Terrible quality. Stopped working after one week.,1.0,2026-01-16,Charles,neutral,1.0,0.0,0.0,negative,0.5,-1.0,1.0
2.0,3.0,Mouse Wireless,"Great mouse, very responsive and comfortable to use.",4.0,2026-01-17,Sarah,neutral,1.0,0.0,0.0,positive,0.677,0.4667,0.6167
3.0,4.0,Mouse Wireless,Arrived with dead pixels. Very disappointed.,3.0,2026-01-18,Mike,neutral,1.0,0.0,0.0,negative,0.658,-0.5875,0.6875
4.0,5.0,Keyboard Mechanical,Love the mechanical switches! Perfect for typing.,5.0,2026-01-19,Charles,neutral,1.0,0.0,0.0,positive,0.621,0.8125,0.8
5.0,6.0,Keyboard Mechanical,Not worth the price. Keys are too loud.,2.0,2026-01-20,David,neutral,1.0,0.0,0.0,negative,0.192,-0.025,0.45
6.0,7.0,Monitor 4K,Excellent display quality and color accuracy!,5.0,2026-01-21,Emma,neutral,1.0,0.0,0.0,positive,0.444,1.0,1.0
7.0,8.0,Monitor 4K,Arrived with dead pixels. Very disappointed.,1.0,2026-01-22,Charles,neutral,1.0,0.0,0.0,negative,0.658,-0.5875,0.6875
8.0,9.0,USB Hub,Works as expected. Nothing special but reliable.,3.0,2026-01-23,Robert,neutral,1.0,0.0,0.0,negative,0.214,0.1286,0.4857
9.0,10.0,USB Hub,Cheap and cheerful! Does the job perfectly.,4.0,2026-01-24,Lisa,neutral,1.0,0.0,0.0,positive,0.615,0.6333,0.9
10.0,11.0,Webcam HD,Terrible camera. Image quality is very poor.,1.0,2026-01-25,James,neutral,1.0,0.0,0.0,negative,0.565,-0.76,0.89
11.0,12.0,Webcam HD,Fantastic webcam! Crystal clear video quality.,5.0,2026-01-26,Charles,neutral,1.0,0.0,0.0,positive,0.619,0.3,0.6417
12.0,13.0,Speaker Bluetooth,Average speaker. Sound is okay but bass is weak.,2.0,2026-01-27,Patricia,neutral,1.0,0.0,0.0,negative,0.313,0.045,0.485
13.0,14.0,Speaker Bluetooth,I love this speaker! Amazing sound quality.,5.0,2026-01-28,Charles,neutral,1.0,0.0,0.0,positive,0.675,0.5417,0.6333
14.0,15.0,Cable Set,Broke after two weeks. Poor quality materials.,1.0,2026-01-29,Charles,neutral,1.0,0.0,0.0,negative,0.541,-0.4,0.6
15.0,16.0,Cable Set,Durable and good value for money.,4.0,2026-01-30,Charles,neutral,1.0,0.0,0.0,positive,0.57,0.7,0.6
16.0,17.0,Stand Monitor,Perfect! Helps with ergonomics and reduces neck pain.,5.0,2026-02-01,Rachel,neutral,1.0,0.0,0.0,positive,0.443,1.0,1.0
17.0,18.0,Stand Monitor,Arrived with dead pixels. Very disappointed.,2.0,2026-02-02,Daniel,neutral,1.0,0.0,0.0,negative,0.658,-0.5875,0.6875
18.0,19.0,Desk Lamp,Not bright enough. Disappointed with purchase.,2.0,2026-02-03,Charles,neutral,1.0,0.0,0.0,neutral,0.446,-0.3667,0.6833
19.0,20.0,Desk Lamp,Excellent lamp! Great design and bright LED.,5.0,2026-02-04,Jennifer,neutral,1.0,0.0,0.0,positive,0.733,0.8333,0.85
20.0,21.0,Chair Office,Uncomfortable after sitting for 2 hours.,1.0,2026-02-05,Mark,neutral,1.0,0.0,0.0,negative,0.394,-0.5,1.0
21.0,22.0,Chair Office,Very comfortable! Best office chair I ever had.,5.0,2026-02-06,Charles,neutral,1.0,0.0,0.0,positive,0.626,0.825,0.65
22.0,23.0,Desk Pad,Good quality mouse pad. Prevents slipping.,4.0,2026-02-07,Charles,neutral,1.0,0.0,0.0,positive,0.512,0.3,0.35
23.0,24.0,Desk Pad,Terrible! Fell apart after one month.,1.0,2026-02-08,Sandra,neutral,1.0,0.0,0.0,negative,0.404,-1.0,1.0
24.0,25.0,Screen Protector,Works perfectly. Keeps screen safe from scratches.,5.0,2026-02-09,Charles,neutral,1.0,0.0,0.0,positive,0.587,0.75,0.75
