__sf_row_id,Transaction_ID,Date,Product_Category,Region,Units_Sold,Revenue_USD,Customer_Age,Discount_Applied,Feedback_Text,Customer_Rating
0,TXN-1001,2024-01-05,Laptops,North America,12.0,14400,34.0,0.05,The laptop is blazing fast and the screen is beautiful. Highly recommended.,5
1,TXN-1002,2024-01-08,Smartphones,Europe,45.0,36000,28.0,0.1,Battery life is terrible. It dies after just 4 hours of use.,2
2,TXN-1003,2024-01-12,Wearables,Asia,150.0,22500,42.0,0.0,Good value for money. Does what it says.,4
3,TXN-1004,2024-01-15,Laptops,North America,60.0,18000,25.0,0.0,Arrived with a scratch on the lid. Customer service was slow.,3
4,TXN-1005,2024-01-18,Audio,Europe,300.0,15000,55.0,0.15,Sound quality is amazing but the ear cups are slightly uncomfortable after a while.,4
5,TXN-1006,2024-01-22,Smartphones,Asia,80.0,64000,28.0,0.05,Absolutely awful experience. The phone freezes constantly.,1
6,TXN-1007,2024-01-25,Wearables,North America,20.0,3000,31.0,0.0,Great fitness tracker. Syncs well with my phone.,5
7,TXN-1008,2024-02-01,Laptops,Europe,5.0,6000,45.0,0.05,Decent laptop for office work. Nothing spectacular.,3
8,TXN-1009,2024-02-05,Audio,Asia,347.25,25000,19.0,0.05,Best headphones I have ever owned! The bass is incredible.,5
9,TXN-1010,2024-02-10,Smartphones,North America,120.0,71700,38.0,0.1,I love the camera quality and the sleek design.,5
10,TXN-1011,2024-02-12,Wearables,Europe,-5.0,750,29.0,0.05,Step counter is inaccurate.,2
11,TXN-1012,2024-02-15,Laptops,Asia,8.0,9600,34.0,0.0,The keyboard is broken out of the box. Extremely disappointed.,1
12,TXN-1013,2024-02-18,Audio,North America,150.0,7500,41.0,0.05,Okay product but a bit overpriced.,3
13,TXN-1014,2024-02-22,Smartphones,Europe,60.0,48000,22.0,0.0,Fast shipping and great packaging. Phone works perfectly.,5
14,TXN-1015,2024-02-25,Wearables,Asia,200.0,30000,35.0,0.15,Great fitness tracker. Syncs well with my phone.,4
15,TXN-1016,2024-03-01,Laptops,North America,15.0,18000,40.0,0.1,Screen glares too much in sunlight.,3
16,TXN-1017,2024-03-05,Audio,Europe,40.0,4000,27.0,0.0,Left earbud stopped working after a week.,1
17,TXN-1018,2024-03-10,Smartphones,Asia,95.0,71700,48.0,0.05,Good phone but the software has too many bloatware apps.,3
18,TXN-1019,2024-03-15,Wearables,North America,10.0,1500,50.0,0.0,Too complicated to set up. Instructions are unclear.,2
19,TXN-1020,2024-03-20,Laptops,Europe,2.0,2400,30.0,0.05,Extremely light and portable. Perfect for travel.,5
20,TXN-1021,2024-03-25,Audio,Asia,347.25,17500,24.0,0.1,Noise cancellation is a lifesaver on flights.,5
21,TXN-1022,2024-04-01,Smartphones,North America,110.0,71700,33.0,0.0,Terrible camera in low light.,2
22,TXN-1023,2024-04-05,Wearables,Europe,80.0,12000,32.0,0.05,Love the sleep tracking feature.,4
23,TXN-1024,2024-04-10,Laptops,Asia,25.0,30000,26.0,0.05,Excellent gaming performance without overheating.,5
24,TXN-1025,2024-04-15,Audio,North America,200.0,10000,39.0,0.05,Average sound quality. Build feels cheap.,3
25,TXN-1026,2024-04-20,Smartphones,Europe,347.25,40000,45.0,0.1,Decent budget phone.,4
26,TXN-1027,2024-04-25,Wearables,Asia,120.0,18000,21.0,0.0,Screen scratches easily.,2
27,TXN-1028,2024-05-01,Laptops,North America,18.0,21600,37.0,0.05,Battery life is much shorter than advertised.,2
28,TXN-1029,2024-05-05,Audio,Europe,347.25,20000,29.0,0.15,Incredible value for the price.,5
29,TXN-1030,2024-05-10,Smartphones,Asia,150.0,71700,32.0,0.0,The best phone on the market right now.,5
