Employee_ID,Department,Years_Experience,Salary,Performance_Score,Remote_Status,years_experience_binned
101,Engineering,5.0,120000.0,85.0,Yes,low
102,Marketing,2.0,65000.0,78.0,No,low
103,Engineering,8.0,145000.0,92.0,Yes,mid
104,Sales,1.0,80000.0,65.0,No,low
105,HR,12.0,95000.0,85.2,Yes,high
106,Engineering,3.0,105000.0,88.0,Yes,low
107,Marketing,5.0,80000.0,81.0,No,low
108,Sales,2.0,72000.0,75.0,No,low
109,Engineering,13.375,174750.0,99.0,Yes,high
110,HR,4.0,68000.0,72.0,No,low
111,Engineering,1.0,90000.0,95.0,Yes,low
112,Sales,7.0,110000.0,89.0,Yes,mid
113,Marketing,6.5,75000.0,80.0,No,mid
114,Engineering,6.0,130000.0,87.0,Yes,mid
115,Sales,3.0,78000.0,60.75,No,low
116,Engineering,4.0,115000.0,84.0,Yes,low
117,Marketing,7.0,92000.0,86.0,Yes,mid
118,HR,2.0,60000.0,70.0,No,low
119,Sales,5.0,95000.0,82.0,Yes,low
120,Engineering,9.0,155000.0,94.0,Yes,mid
